iter	Passed	Remaining
1095	3879	66912
1096	3884	66928
1097	3887	66928
1098	3890	66909
1099	3894	66908
1100	3896	66891
1101	3900	66884
1102	3903	66871
1103	3906	66859
1104	3909	66849
1105	3912	66844
1106	3916	66837
1107	3919	66837
1108	3923	66829
1109	3926	66829
1110	3930	66821
1111	3933	66808
1112	3936	66799
1113	3940	66801
1114	3944	66806
1115	3947	66796
1116	3950	66788
1117	3954	66792
1118	3957	66779
1119	3960	66767
1120	3964	66763
1121	3968	66769
1122	3972	66778
1123	3976	66772
1124	3978	66755
1125	3982	66758
1126	3986	66763
1127	3989	66751
1128	3993	66754
1129	3997	66747
1130	4000	66745
1131	4004	66747
1132	4007	66736
1133	4010	66714
1134	4014	66728
1135	4017	66706
1136	4020	66695
1137	4022	66676
1138	4026	66683
1139	4029	66664
1140	4032	66653
1141	4036	66652
1142	4039	66643
1143	4042	66632
1144	4045	66619
1145	4048	66613
1146	4051	66601
1147	4055	66596
1148	4058	66582
1149	4061	66574
1150	4065	66583
1151	4069	66573
1152	4072	66569
1153	4076	66574
1154	4079	66557
1155	4082	66550
1156	4085	66529
1157	4088	66526
1158	4091	66520
1159	4094	66497
1160	4098	66503
1161	4102	66506
1162	4105	66493
1163	4108	66488
1164	4112	66488
1165	4116	66486
1166	4120	66494
1167	4123	66487
1168	4127	66496
1169	4130	66472
1170	4133	66459
1171	4135	66437
1172	4139	66435
1173	4142	66435
1174	4146	66430
1175	4150	66442
1176	4154	66434
1177	4157	66427
1178	4160	66416
1179	4163	66409
1180	4168	66427
1181	4171	66418
1182	4175	66423
1183	4178	66408
1184	4182	66412
1185	4186	66412
1186	4189	66398
1187	4192	66392
1188	4196	66398
1189	4200	66389
1190	4204	66393
1191	4208	66399
1192	4211	66397
1193	4214	66378
1194	4217	66373
1195	4221	66365
1196	4223	66345
1197	4226	66330
1198	4230	66330
1199	4234	66333
1200	4236	66319
1201	4240	66315
1202	4243	66307
1203	4246	66285
1204	4249	66274
1205	4252	66262
1206	4254	66242
1207	4257	66226
1208	4260	66220
1209	4264	66219
1210	4268	66224
1211	4272	66228
1212	4276	66227
1213	4278	66209
1214	4282	66209
1215	4285	66199
1216	4288	66180
1217	4292	66187
1218	4295	66177
1219	4298	66174
1220	4301	66161
1221	4305	66162
1222	4309	66158
1223	4312	66148
1224	4316	66162
1225	4319	66141
1226	4323	66141
1227	4326	66131
1228	4329	66130
1229	4333	66125
1230	4336	66114
1231	4339	66105
1232	4342	66097
1233	4346	66097
1234	4349	66091
1235	4352	66074
1236	4355	66065
1237	4358	66059
1238	4362	66055
1239	4365	66042
1240	4367	66025
1241	4372	66038
1242	4375	66023
1243	4378	66013
1244	4380	65996
1245	4384	65995
1246	4389	66005
1247	4392	65998
1248	4395	65990
1249	4398	65980
1250	4402	65980
1251	4406	65982
1252	4409	65973
1253	4412	65969
1254	4416	65962
1255	4419	65959
1256	4422	65941
1257	4425	65929
1258	4429	65937
1259	4432	65930
1260	4436	65922
1261	4439	65912
1262	4443	65914
1263	4446	65916
1264	4450	65918
1265	4454	65922
1266	4457	65912
1267	4461	65913
1268	4465	65918
1269	4469	65912
1270	4472	65903
1271	4476	65906
1272	4479	65898
1273	4482	65885
1274	4485	65880
1275	4489	65875
1276	4493	65876
1277	4496	65868
1278	4500	65870
1279	4503	65868
1280	4507	65869
1281	4510	65849
1282	4513	65842
1283	4516	65838
1284	4520	65838
1285	4523	65820
1286	4526	65814
1287	4530	65812
1288	4533	65809
1289	4536	65799
1290	4540	65797
1291	4544	65806
1292	4548	65809
1293	4551	65800
1294	4555	65806
1295	4560	65816
1296	4564	65821
1297	4567	65814
1298	4571	65808
1299	4575	65812
1300	4578	65805
1301	4581	65791
1302	4584	65785
1303	4587	65776
1304	4591	65776
1305	4595	65784
1306	4599	65786
1307	4603	65793
1308	4607	65787
1309	4610	65779
1310	4613	65771
1311	4617	65774
1312	4620	65764
1313	4624	65769
1314	4628	65770
1315	4631	65761
1316	4634	65741
1317	4637	65732
1318	4641	65740
1319	4645	65741
1320	4649	65741
1321	4653	65746
1322	4657	65747
1323	4660	65737
1324	4663	65728
1325	4667	65734
1326	4671	65731
1327	4675	65732
1328	4678	65722
1329	4682	65726
1330	4684	65711
1331	4688	65705
1332	4691	65703
1333	4696	65709
1334	4700	65714
1335	4703	65706
1336	4706	65700
1337	4710	65695
1338	4713	65684
1339	4716	65680
1340	4719	65662
1341	4721	65646
1342	4725	65652
1343	4730	65661
1344	4733	65654
1345	4737	65650
1346	4740	65646
1347	4744	65646
1348	4746	65629
1349	4750	65625
1350	4754	65633
1351	4759	65642
1352	4762	65632
1353	4765	65621
1354	4767	65607
1355	4771	65600
1356	4774	65599
1357	4778	65592
1358	4781	65582
1359	4784	65572
1360	4787	65562
1361	4791	65563
1362	4793	65544
1363	4797	65544
1364	4801	65551
1365	4805	65554
1366	4808	65546
1367	4811	65536
1368	4815	65540
1369	4819	65534
1370	4822	65524
1371	4825	65516
1372	4828	65502
1373	4831	65492
1374	4834	65488
1375	4837	65480
1376	4840	65469
1377	4844	65467
1378	4847	65462
1379	4851	65454
1380	4855	65457
1381	4859	65460
1382	4863	65462
1383	4867	65467
1384	4870	65459
